food_id,source,food_item,edible_part_percentage,water_g,kilojoules_kj,kilocalories_kcal,fat_g,sat_fa_g,trans_fa_g,mu_fa_g,pu_fa_g,cholesterol_mg,carbo_g,starch_g,mono_di_g,sugar_g,dietary_fibre,protein_g,salt_g,alcohol_g,retinol_mg,beta_carotene_mg,vitamin_a_are,vitamin_d_mg,vitamin_e_alfa_te,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mg,vitamin_b12_mg,vitamin_c_mg,calcium_mg,iron_mg,sodium_mg,potassium_mg,magnesium_mg,zinc_mg,selenium_mg,copper_mg,phosphorus_mg,iodine_mg
1.001,Norway,Milk whole milk 35 per fat,100,87,264,63,3.5,2.3,0.1,0.8,0.1,9,4.6,0,4.6,0,0,3.3,0.1,0,32,22,34,0,0.1,0.05,0.15,0.1,0.04,5,0.5,0,116,0,40,149,11,0.4,1,0.02,90,19
1.002,Norway,Milk semi skimmed 12 per fat,100,90,180,43,1.2,0.8,0,0.3,0,3,4.7,0,4.7,0,0,3.3,0.1,0,10,10,12,0,0,0.05,0.15,0.1,0.04,5,0.4,0,115,0,40,157,13,0.4,1,0.01,88,19
1.003,Norway,Milk skimmed,100,91,141,33,0.1,0.1,0,0,0,0,4.8,0,4.8,0,0,3.3,0.1,0,1,0,1,0,0,0.05,0.15,0.1,0.04,4,0.5,0,116,0,40,153,9,0.4,1,0.01,90,19
1.008,Norway,Milk beverage chocolate flavour,100,85,252,60,1.4,0.9,0,0.3,0,4,8.4,0,8.4,4,0,3.4,0.1,0,13,13,14,0,0,0.03,0.15,0.1,0.04,5,0.5,0,110,0.4,38,178,18,0.4,1,0.04,93,18
1.013,Norway,Milk goat UHT treated,100,88,249,60,3.3,2.3,0.1,0.6,0.1,5,4.6,0,4.6,0,0,2.9,0.1,0,30,3,30,0,0,0.02,0.09,0.4,0.06,4,0.1,0,100,0.1,30,155,15,0.3,1,0.13,76,M
1.079,Norway,Milk shake chocolate flavour,100,81,327,77,1.5,1,0,0.3,0,4,12,0,12,5,0,4,0.1,0,11,11,12,0,0,0.04,0.14,0.1,0.04,5,0.4,0,109,0,40,157,13,0.4,1,0.01,88,17
1.082,Norway,Milk cultured plain organic,100,90,183,43,1.4,0.9,0,0.3,0,4,4.4,0,4.4,0,0,3.3,0.1,0,13,13,14,0,0,0.05,0.15,0.1,0.04,3,0.2,0,115,0,37,154,10,0.4,1,0.01,90,16
1.083,Norway,Milk whole milk cultured Kulturmelk,100,88,254,61,3.5,2.3,0.1,0.8,0.1,9,4,0,4,0,0,3.3,0.1,0,32,22,34,0,0.1,0.05,0.15,0.1,0.04,11,0.2,0,116,0.1,37,153,10,0.4,1,0.02,90,19
1.084,Norway,Milk whole milk cultured Kefir,100,88,254,61,3.5,2.3,0.1,0.8,0.1,9,4,0,4,0,0,3.3,0.1,0,32,22,34,0,0.1,0.05,0.16,0.1,0.04,11,0.2,0,116,0.1,36,149,10,0.4,1,0,90,19
1.085,Norway,Milk skimmed cultured Skummet kulturmelk,100,92,139,33,0.4,0.3,0,0.1,0,1,4.1,0,4.1,0,0,3.2,0.1,0,1,1,1,0,0,0.05,0.15,0.1,0.04,9,0.2,0,115,0,38,156,11,0.4,1,0,90,19
1.099,Norway,Milk cultured pear Cultura,100,84,303,72,1.4,0.9,0,0.3,0,4,11.8,0,11.8,5.4,0,3,0.1,0,12,8,13,0,0,0.03,0.13,0.1,0.04,4,0.2,0,100,0.1,34,151,10,0.3,1,0.01,80,16
1.104,Norway,Milk shake strawberry flavour,100,83,305,72,1.4,0.9,0,0.3,0,4,11,0.4,10.6,4.5,0,3.9,0.1,0,11,11,12,0,0,0.04,0.14,0.1,0.04,5,0.1,0,109,0,40,157,13,0.4,1,0.01,88,18
1.109,Norway,Milk for coffee 35 per fat,100,86,260,62,3.5,2.3,0.1,0.9,0.1,10,4.4,0,4.4,0,0,3.3,0.1,0,36,25,38,0,0.1,0.05,0.15,0.1,0.04,5,0.5,0,134,0,40,171,11,0.4,1,0.02,115,19
